group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
M,2670,0.13108614232209737,0.8645246305418718,0.01633202765974385,0.013675508058231332,0.030051946457281535,sex,mlp,temperature,0
Asian,157,0.14012738853503184,0.8575757575757575,0.06273819118952534,0.030629036096924814,0.1005922318313876,ethnicity_group,mlp,temperature,0
Black,413,0.10653753026634383,0.8576003941857601,0.04109015277233398,0.026439678999701316,0.07152919264210826,ethnicity_group,mlp,temperature,0
Hispanic,178,0.11797752808988764,0.8462238398544131,0.05350886982415127,0.03388650769505857,0.10284582211730141,ethnicity_group,mlp,temperature,0
Other,944,0.1832627118644068,0.8990650982509015,0.01829148681709442,0.014370754761258275,0.04305739168399939,ethnicity_group,mlp,temperature,0
White,2980,0.12181208053691275,0.8405035522136992,0.02482318774357279,0.017494115356374032,0.03732457202042043,ethnicity_group,mlp,temperature,0
Medicaid,681,0.11747430249632893,0.8710898502495841,0.04443732334801909,0.023997895831555736,0.06500087170411369,insurance_group,mlp,temperature,0
Medicare,2554,0.15426781519185592,0.8551536943034403,0.015282781000355013,0.011616502829667624,0.02966761784996412,insurance_group,mlp,temperature,0
Other,1437,0.10368823938761308,0.8566582600358498,0.027078504844754787,0.01947076401147729,0.0430304948239467,insurance_group,mlp,temperature,0
18-44,637,0.10204081632653061,0.9182087143625605,0.027824584385614505,0.021060930379595208,0.05360240576405034,age_band,lr,none,1
45-64,1630,0.11717791411042945,0.8824008819388101,0.01828927939148525,0.01498169476357238,0.034411635466163,age_band,lr,none,1
65-79,1554,0.14221364221364222,0.8612933776430534,0.02061982446955421,0.016359984361927236,0.03795707934071772,age_band,lr,none,1
80+,851,0.17156286721504113,0.8160788885650443,0.036537264596657494,0.028599584435253206,0.06462668624133919,age_band,lr,none,1
F,2041,0.13571778539931406,0.861375115629886,0.01879488628020972,0.011914971557252739,0.033243095295513655,sex,lr,none,1
M,2631,0.1315089319650323,0.8705619711362114,0.019534631265025748,0.014021531796633997,0.032754637089105476,sex,lr,none,1
Asian,128,0.15625,0.7949074074074074,0.07624234460650182,0.04423330580910918,0.12709561900281882,ethnicity_group,lr,none,1
Black,413,0.1016949152542373,0.8586830958798614,0.039085877833015654,0.027897309248783777,0.07110971366675863,ethnicity_group,lr,none,1
Hispanic,176,0.07386363636363637,0.7328928739971685,0.07732702216740636,0.05607061248993534,0.12193612133672503,ethnicity_group,lr,none,1
Other,975,0.19589743589743588,0.889217598033978,0.03793059004872753,0.027933790296555135,0.059750409667009806,ethnicity_group,lr,none,1
White,2980,0.1197986577181208,0.8644986015755901,0.018549691968766897,0.013594342668971667,0.030171999604165597,ethnicity_group,lr,none,1
Medicaid,690,0.13478260869565217,0.8995875434520271,0.018442614682083375,0.01550132996466149,0.045095312047705,insurance_group,lr,none,1
Medicare,2496,0.14583333333333334,0.8457092860235449,0.0181251829801028,0.012305283604705881,0.03338120007881999,insurance_group,lr,none,1
Other,1486,0.1117092866756393,0.8851770719240599,0.026119269175009553,0.01761232651555308,0.04155640288566135,insurance_group,lr,none,1
18-44,637,0.10204081632653061,0.9182087143625605,0.03004781342313345,0.022389148673628862,0.0548422029754397,age_band,lr,temperature,1
45-64,1630,0.11717791411042945,0.8824008819388101,0.01922049512996733,0.015513037002972897,0.03531253377251972,age_band,lr,temperature,1
65-79,1554,0.14221364221364222,0.8612933776430534,0.021171965569368675,0.015889925510678474,0.03703631227075807,age_band,lr,temperature,1
80+,851,0.17156286721504113,0.8160788885650443,0.035741901927822985,0.029132433746264747,0.06397924297488601,age_band,lr,temperature,1
F,2041,0.13571778539931406,0.861375115629886,0.019547828265520283,0.011884422654247521,0.033515475516389774,sex,lr,temperature,1
M,2631,0.1315089319650323,0.8705619711362114,0.020373529324280555,0.01389629511401203,0.03250806434366789,sex,lr,temperature,1
Asian,128,0.15625,0.7949074074074074,0.07548908185938305,0.044821526896317465,0.12689026201820625,ethnicity_group,lr,temperature,1
Black,413,0.1016949152542373,0.8586830958798614,0.039738238346904875,0.029290493126328285,0.07201057712712676,ethnicity_group,lr,temperature,1
